doc_id,sid,tid,token,token_with_ws,lemma,upos,xpos,tid_source,relation,token_clean,expected_prediction
940,7,6,whisky,whisky,whisky,NOUN,NN,0,root,whisky,1.77E-06
4942,1,1,This,This,this,DET,DT,2,det,this,1.01E-08
4942,1,2,bourbon,bourbon,bourbon,NOUN,NN,3,nsubj,bourbon,1.84E-06
4942,1,3,uses,uses,use,VERB,VBZ,0,root,uses,1.29E-06
4942,1,4,three,three,three,NUM,CD,3,dobj,three,1.62E-09
4942,1,5,of,of,of,ADP,IN,4,prep,of,5.23E-10
4942,1,6,the,the,the,DET,DT,10,det,the,4.14E-08
4942,1,7,10,10,10,NUM,CD,10,nummod,10,3.18E-07
4942,1,8,Four,Four,Four,PROPN,NNP,9,nummod,four,6.42E-09
4942,1,9,Roses,Roses,Roses,PROPN,NNPS,10,compound,roses,0.997204959
4942,1,10,recipes,recipes,recipe,NOUN,NNS,5,pobj,recipes,2.63E-04
4942,1,12,and,and,and,CCONJ,CC,3,cc,and,7.91E-07
4942,1,13,is,is,be,VERB,VBZ,14,auxpass,is,1.33E-10
4942,1,14,bottled,bottled,bottle,VERB,VBN,3,conj,bottled,2.63E-06
4942,1,15,at,at,at,ADP,IN,14,prep,at,2.68E-08
4942,1,16,cask,cask,cask,NOUN,NN,17,compound,cask,2.58E-07
4942,1,17,strength,strength,strength,NOUN,NN,15,pobj,strength,1.61E-07
4942,2,1,The,The,the,DET,DT,2,det,the,1.10E-07
4942,2,2,nose,nose,nose,NOUN,NN,3,nsubj,nose,1.74E-06
4942,2,3,is,is,be,VERB,VBZ,0,root,is,3.53E-10
4942,2,4,full,full,full,ADJ,JJ,3,acomp,full,0.999689102
4942,2,5,of,of,of,ADP,IN,4,prep,of,1.48E-09
4942,2,6,oak,oak,oak,NOUN,NN,5,pobj,oak,0.999998808
4942,2,8,caramel,caramel,caramel,NOUN,NN,6,conj,caramel,1
4942,2,10,honey,honey,honey,NOUN,NN,8,conj,honey,1
4942,2,12,and,and,and,CCONJ,CC,10,cc,and,1.43E-06
4942,2,13,dark,dark,dark,ADJ,JJ,14,amod,dark,0.999981761
4942,2,14,chocolate,chocolate,chocolate,NOUN,NN,10,conj,chocolate,0.999999642
4942,3,1,The,The,the,DET,DT,2,det,the,8.12E-08
4942,3,2,taste,taste,taste,NOUN,NN,3,nsubj,taste,1.36E-05
4942,3,3,has,has,have,VERB,VBZ,0,root,has,2.57E-08
4942,3,4,soft,soft,soft,ADJ,JJ,5,amod,soft,0.999967575
4942,3,5,spices,spices,spice,NOUN,NNS,3,dobj,spices,0.999995947
4942,3,7,honey,honey,honey,NOUN,NN,5,conj,honey,1
4942,3,9,raspberry,raspberry,raspberry,VERB,VBP,7,conj,raspberry,1
4942,3,11,and,and,and,CCONJ,CC,9,cc,and,1.43E-06
4942,3,12,cherry,cherry,cherry,VERB,VB,13,compound,cherry,0.999999881
4942,3,13,notes,notes,note,NOUN,NNS,9,conj,notes,3.59E-07
4942,3,14,and,and,and,CCONJ,CC,3,cc,and,8.51E-07
4942,3,15,is,is,be,VERB,VBZ,3,conj,is,3.37E-10
4942,3,16,exceptionally,exceptionally,exceptionally,ADV,RB,17,advmod,exceptionally,8.58E-04
4942,3,17,smooth,smooth,smooth,ADJ,JJ,15,acomp,smooth,0.999838114
4942,4,1,The,The,the,DET,DT,2,det,the,7.80E-08
4942,4,2,finish,finish,finish,NOUN,NN,3,nsubj,finish,9.09E-06
4942,4,3,has,has,have,VERB,VBZ,0,root,has,1.89E-08
4942,4,4,notes,notes,note,NOUN,NNS,3,dobj,notes,7.59E-07
4942,4,5,of,of,of,ADP,IN,4,prep,of,2.04E-09
4942,4,6,cherries,cherries,cherry,NOUN,NNS,5,pobj,cherries,1
4942,4,8,vanilla,vanilla,vanilla,NOUN,NN,6,conj,vanilla,0.999999881
4942,4,10,and,and,and,CCONJ,CC,8,cc,and,1.74E-06
4942,4,11,a,a,a,DET,DT,12,det,a,1.16E-09
4942,4,12,touch,touch,touch,NOUN,NN,8,conj,touch,5.54E-05
4942,4,13,of,of,of,ADP,IN,12,prep,of,2.05E-09
4942,4,14,cinnamon,cinnamon,cinnamon,NOUN,NN,13,pobj,cinnamon,0.999999762
6348,1,1,The,The,the,DET,DT,2,det,the,1.15E-07
6348,1,2,nose,nose,nose,NOUN,NN,7,nsubj,nose,1.55E-06
6348,1,3,on,on,on,ADP,IN,2,prep,on,1.05E-08
6348,1,4,this,this,this,DET,DT,6,det,this,7.37E-09
6348,1,5,blended,blended,blend,VERB,VBN,6,amod,blended,6.37E-06
6348,1,6,Scotch,Scotch,Scotch,PROPN,NNP,3,pobj,scotch,6.17E-05
6348,1,7,is,is,be,VERB,VBZ,0,root,is,1.78E-10
6348,1,8,light,light,light,ADJ,JJ,7,acomp,light,0.999881864
6348,1,9,and,and,and,CCONJ,CC,8,cc,and,1.26E-06
6348,1,10,malty,malty,malty,NOUN,NN,8,conj,malty,0.999998212
6348,1,11,with,with,with,ADP,IN,10,prep,with,1.00E-06
6348,1,12,dried,dried,dry,VERB,VBN,13,amod,dried,0.999998927
6348,1,13,flowers,flowers,flower,NOUN,NNS,11,pobj,flowers,0.999912262
6348,1,15,grass,grass,grass,NOUN,NN,13,conj,grass,0.999995589
6348,1,17,straw,straw,straw,NOUN,NN,15,conj,straw,0.999828815
6348,1,19,and,and,and,CCONJ,CC,17,cc,and,1.74E-06
6348,1,20,hints,hints,hint,NOUN,NNS,17,conj,hints,5.46E-06
